time_s,voiced_ratio,lufs_now,speech_med,ambient_med,snr_est_db
0.00,0.00,-56.25,,-56.25,
0.50,0.20,-38.49,,-56.25,
1.00,0.50,-36.19,,-56.25,
1.50,0.69,-35.89,-35.89,-56.25,20.36
2.00,0.95,-34.51,-35.20,-56.25,21.05
2.50,0.95,-34.68,-34.68,-56.25,21.57
3.00,0.82,-35.28,-34.98,-56.25,21.27
3.50,0.94,-34.70,-34.70,-56.25,21.54
4.00,0.94,-35.92,-34.99,-56.25,21.26
4.50,1.00,-37.10,-35.28,-56.25,20.97
5.00,0.89,-37.52,-35.58,-56.25,20.66
5.50,0.95,-38.76,-35.89,-56.25,20.36
6.00,1.00,-37.16,-35.91,-56.25,20.34
6.50,0.82,-38.01,-36.51,-56.25,19.73
7.00,0.91,-39.11,-37.13,-56.25,19.11
7.50,0.65,-38.33,-37.34,-56.25,18.90
8.00,0.60,-39.12,-37.34,-56.25,18.90
8.50,0.60,-38.53,-37.34,-56.25,18.90
9.00,0.73,-37.27,-37.40,-56.25,18.85
9.50,0.68,-37.99,-37.76,-56.25,18.49
10.00,0.58,-38.01,-37.76,-56.25,18.49
10.50,0.71,-35.98,-37.76,-56.25,18.49
11.00,0.85,-35.89,-37.76,-56.25,18.49
11.50,0.94,-34.43,-37.63,-56.25,18.62
12.00,0.72,-34.63,-37.22,-56.25,19.03
12.50,0.63,-36.56,-36.91,-56.25,19.33
13.00,0.36,-36.47,-36.91,-56.25,19.33
13.50,0.54,-38.92,-36.91,-56.25,19.33
14.00,0.81,-39.32,-36.91,-56.25,19.33
14.50,0.84,-38.39,-36.91,-56.25,19.33
15.00,0.80,-39.47,-36.91,-56.25,19.33
15.50,0.87,-39.28,-37.27,-56.25,18.97
16.00,0.30,-40.04,-37.27,-56.25,18.97
16.50,0.35,-42.55,-37.27,-56.25,18.97
17.00,0.19,-45.33,-37.27,-56.25,18.97
17.50,0.00,-51.50,-37.27,-53.87,16.60
18.00,0.00,-51.73,-37.27,-51.73,14.46
18.50,0.00,-50.71,-37.27,-51.61,14.34
19.00,0.00,-50.48,-37.27,-51.50,14.22
19.50,0.00,-50.13,-37.27,-51.10,13.83
20.00,0.00,-50.49,-37.27,-50.71,13.44
20.50,0.00,-51.27,-37.27,-50.99,13.72
21.00,0.15,-50.20,-37.27,-50.99,13.72
21.50,0.42,-50.59,-37.27,-50.99,13.72
22.00,0.68,-50.15,-37.47,-50.99,13.52
22.50,0.25,-49.28,-37.47,-50.99,13.52
23.00,0.00,-49.08,-37.47,-50.71,13.24
23.50,0.00,-46.97,-37.47,-50.60,13.13
24.00,0.21,-39.87,-37.47,-50.60,13.13
24.50,0.47,-38.70,-37.47,-50.60,13.13
25.00,0.73,-38.00,-38.19,-50.60,12.41
25.50,0.97,-36.41,-38.19,-50.60,12.41
26.00,0.96,-36.60,-38.19,-50.60,12.41
26.50,0.84,-36.69,-38.19,-50.60,12.41
27.00,0.92,-36.32,-38.19,-50.60,12.41
27.50,0.90,-36.76,-37.38,-50.60,13.22
28.00,0.94,-36.66,-36.73,-50.60,13.87
28.50,0.56,-36.42,-36.73,-50.60,13.87
29.00,0.82,-35.10,-36.68,-50.60,13.92
29.50,0.84,-34.91,-36.63,-50.60,13.97
30.00,0.84,-35.83,-36.51,-50.60,14.09
30.50,0.64,-36.36,-36.39,-50.60,14.21
31.00,0.72,-37.93,-36.48,-50.60,14.12
31.50,0.38,-37.92,-36.48,-50.60,14.12
32.00,0.63,-37.19,-36.51,-50.60,14.09
32.50,0.87,-36.86,-36.51,-50.60,14.09
33.00,0.98,-37.67,-36.71,-50.60,13.89
33.50,0.95,-39.05,-36.76,-50.60,13.84
34.00,0.98,-39.61,-37.03,-50.60,13.57
34.50,0.97,-38.15,-37.43,-50.60,13.17
35.00,0.78,-38.11,-37.80,-50.60,12.80
35.50,0.19,-38.21,-37.80,-50.60,12.80
36.00,0.18,-37.17,-37.80,-50.60,12.80
36.50,0.21,-38.68,-37.80,-50.60,12.80
37.00,0.36,-37.99,-37.80,-50.60,12.80
37.50,0.58,-37.60,-37.80,-50.60,12.80
38.00,0.54,-37.72,-37.80,-50.60,12.80
38.50,0.90,-37.08,-37.80,-50.60,12.80
39.00,0.85,-37.43,-37.80,-50.60,12.80
39.50,0.95,-37.36,-37.55,-50.60,13.05
40.00,0.59,-39.11,-37.55,-50.60,13.05
40.50,0.57,-40.35,-37.55,-50.60,13.05
41.00,0.35,-39.49,-37.55,-50.60,13.05
41.50,0.00,-37.65,-37.55,-50.48,12.93
42.00,0.00,-36.77,-37.55,-50.30,12.75
42.50,0.23,-35.01,-37.55,-50.30,12.75
43.00,0.47,-34.75,-37.55,-50.30,12.75
43.50,0.71,-34.99,-37.55,-50.30,12.75
44.00,0.84,-34.65,-37.55,-50.30,12.75
44.50,0.45,-35.89,-37.55,-50.30,12.75
45.00,0.27,-36.59,-37.55,-50.30,12.75
45.50,0.00,-37.46,-37.55,-49.60,12.05
46.00,0.00,-37.66,-37.55,-48.02,10.47
46.50,0.14,-33.15,-37.55,-48.02,10.47
47.00,0.00,-28.34,-37.55,-42.31,4.76
47.50,0.00,-21.30,-37.55,-37.65,0.10
48.00,0.11,-18.61,-37.55,-37.65,0.10
48.50,0.08,-17.42,-37.55,-37.55,0.00
49.00,0.00,-17.15,-37.55,-37.11,-0.44
49.50,0.00,-18.28,-37.55,-32.55,-5.00
50.00,0.00,-20.43,-37.55,-24.82,-12.73
50.50,0.14,-23.13,-37.55,-24.82,-12.73
51.00,0.13,-25.27,-37.55,-24.82,-12.73
51.50,0.00,-27.82,-37.55,-24.56,-12.99
52.00,0.00,-28.83,-37.55,-24.56,-12.99
52.50,0.00,-30.14,-37.55,-24.56,-12.99
53.00,0.00,-30.79,-37.55,-24.56,-12.99
53.50,0.00,-31.86,-37.55,-24.56,-12.99
54.00,0.09,-31.30,-37.55,-28.33,-9.22
54.50,0.00,-30.48,-37.55,-29.48,-8.07
55.00,0.08,-29.83,-37.55,-29.98,-7.57
55.50,0.00,-29.31,-37.55,-29.98,-7.57
56.00,0.00,-29.89,-37.55,-30.01,-7.54
56.50,0.00,-30.33,-37.55,-30.23,-7.32
57.00,0.00,-29.83,-37.55,-30.23,-7.32
57.50,0.06,-28.51,-37.55,-30.11,-7.44
58.00,0.00,-28.67,-37.55,-29.86,-7.69
