time_s,voiced_ratio,lufs_now,speech_med,ambient_med,snr_est_db
0.00,0.83,-23.17,-23.17,,
0.50,0.93,-23.22,-23.20,,
1.00,0.90,-22.98,-23.17,,
1.50,0.85,-23.05,-23.11,,
2.00,0.81,-21.94,-23.05,,
2.50,0.95,-21.38,-23.01,,
3.00,0.78,-21.22,-22.98,,
3.50,0.94,-20.91,-22.46,,
4.00,0.85,-21.84,-21.94,,
4.50,0.74,-22.20,-22.07,,
5.00,0.65,-21.25,-21.89,,
5.50,0.65,-21.03,-21.61,,
6.00,0.90,-20.38,-21.31,,
6.50,1.00,-20.04,-21.23,,
7.00,1.00,-20.84,-21.12,,
7.50,0.95,-21.40,-21.12,,
8.00,0.98,-21.57,-21.14,,
8.50,0.95,-22.07,-21.32,,
9.00,1.00,-21.65,-21.32,,
9.50,1.00,-21.46,-21.32,,
10.00,0.85,-21.60,-21.43,,
10.50,0.89,-21.87,-21.52,,
11.00,0.78,-21.84,-21.59,,
11.50,0.73,-20.82,-21.59,,
12.00,0.25,-20.27,-21.59,,
12.50,0.10,-20.21,-21.59,-20.21,-1.38
13.00,0.44,-20.40,-21.59,-20.21,-1.38
13.50,0.79,-21.81,-21.63,-20.21,-1.42
14.00,0.82,-22.51,-21.73,-20.21,-1.53
14.50,0.98,-22.36,-21.83,-20.21,-1.62
15.00,0.84,-22.11,-21.83,-20.21,-1.62
15.50,1.00,-21.99,-21.86,-20.21,-1.65
16.00,0.96,-21.34,-21.86,-20.21,-1.65
16.50,0.97,-21.40,-21.86,-20.21,-1.65
17.00,0.97,-21.38,-21.83,-20.21,-1.62
17.50,0.98,-21.39,-21.61,-20.21,-1.40
18.00,0.89,-22.17,-21.90,-20.21,-1.70
18.50,0.98,-21.81,-21.90,-20.21,-1.70
19.00,1.00,-22.18,-21.90,-20.21,-1.70
19.50,0.97,-22.14,-21.90,-20.21,-1.70
20.00,1.00,-21.92,-21.87,-20.21,-1.66
20.50,0.94,-22.33,-21.87,-20.21,-1.66
21.00,0.98,-22.24,-22.03,-20.21,-1.82
21.50,0.98,-21.89,-22.03,-20.21,-1.82
22.00,1.00,-22.04,-22.09,-20.21,-1.88
22.50,0.95,-22.12,-22.13,-20.21,-1.93
23.00,0.98,-22.25,-22.13,-20.21,-1.93
23.50,0.94,-22.82,-22.16,-20.21,-1.96
24.00,0.90,-22.88,-22.19,-20.21,-1.98
24.50,1.00,-22.79,-22.24,-20.21,-2.04
25.00,0.83,-23.62,-22.29,-20.21,-2.09
25.50,0.95,-22.73,-22.49,-20.21,-2.29
26.00,0.95,-22.65,-22.69,-20.21,-2.48
26.50,0.76,-22.76,-22.75,-20.21,-2.54
27.00,1.00,-22.54,-22.75,-20.21,-2.54
27.50,0.84,-23.39,-22.77,-20.21,-2.57
28.00,0.95,-23.65,-22.80,-20.21,-2.60
28.50,0.84,-24.08,-22.83,-20.21,-2.63
29.00,0.98,-24.28,-23.09,-20.21,-2.88
29.50,1.00,-24.53,-23.51,-20.21,-3.30
30.00,0.97,-24.82,-23.52,-20.21,-3.32
30.50,0.97,-24.57,-23.87,-20.21,-3.66
31.00,1.00,-24.50,-24.18,-20.21,-3.97
31.50,0.89,-24.31,-24.29,-20.21,-4.09
32.00,0.97,-24.29,-24.30,-20.21,-4.09
32.50,1.00,-24.43,-24.37,-20.21,-4.16
33.00,0.98,-24.04,-24.37,-20.21,-4.16
33.50,0.95,-24.60,-24.47,-20.21,-4.26
34.00,0.97,-25.11,-24.52,-20.21,-4.31
34.50,0.95,-24.10,-24.47,-20.21,-4.26
35.00,0.92,-24.13,-24.37,-20.21,-4.16
35.50,0.93,-23.03,-24.30,-20.21,-4.09
36.00,0.84,-22.61,-24.21,-20.21,-4.01
36.50,0.96,-22.00,-24.12,-20.21,-3.91
37.00,0.90,-20.94,-24.07,-20.21,-3.87
37.50,0.87,-20.32,-23.53,-20.21,-3.33
38.00,0.92,-19.30,-22.82,-20.21,-2.61
38.50,1.00,-18.74,-22.30,-20.21,-2.10
39.00,0.85,-19.36,-21.47,-20.21,-1.27
39.50,0.77,-18.21,-20.63,-20.21,-0.43
40.00,0.90,-17.69,-19.84,-20.21,0.37
40.50,0.87,-17.81,-19.33,-20.21,0.88
41.00,0.97,-17.10,-19.02,-20.21,1.19
41.50,0.97,-17.59,-18.47,-20.21,1.73
42.00,1.00,-17.74,-18.01,-20.21,2.19
42.50,0.94,-17.88,-17.85,-20.21,2.36
43.00,0.00,-18.85,-17.85,-19.53,1.68
43.50,0.77,-18.96,-17.85,-19.53,1.68
44.00,0.77,-18.81,-17.85,-19.53,1.68
44.50,0.74,-18.60,-17.85,-19.53,1.68
45.00,0.98,-17.76,-17.79,-19.53,1.74
45.50,0.98,-17.77,-17.79,-19.53,1.74
46.00,0.92,-18.08,-17.83,-19.53,1.70
46.50,1.00,-18.09,-17.98,-19.53,1.55
47.00,0.92,-17.93,-18.01,-19.53,1.52
47.50,1.00,-17.90,-18.01,-19.53,1.52
48.00,0.85,-17.81,-18.01,-19.53,1.52
48.50,0.87,-17.67,-17.91,-19.53,1.62
49.00,1.00,-18.05,-17.91,-19.53,1.62
49.50,0.85,-17.70,-17.86,-19.53,1.67
50.00,1.00,-16.88,-17.86,-19.53,1.67
50.50,0.95,-16.65,-17.86,-19.53,1.67
51.00,0.98,-16.60,-17.76,-19.53,1.77
51.50,0.95,-16.33,-17.69,-19.53,1.84
52.00,1.00,-17.21,-17.44,-19.53,2.09
52.50,1.00,-17.43,-17.32,-19.53,2.21
53.00,0.94,-16.74,-17.05,-19.53,2.48
53.50,0.98,-17.34,-17.05,-19.53,2.48
54.00,1.00,-17.24,-17.05,-19.53,2.48
54.50,0.79,-17.20,-17.04,-19.53,2.49
55.00,1.00,-17.61,-17.21,-19.53,2.32
55.50,0.93,-18.24,-17.23,-19.53,2.30
56.00,0.84,-17.74,-17.29,-19.53,2.24
56.50,0.65,-17.61,-17.38,-19.53,2.15
57.00,0.77,-17.77,-17.52,-19.53,2.01
57.50,0.84,-16.82,-17.47,-19.53,2.06
58.00,0.98,-17.09,-17.47,-19.53,2.06
58.50,0.92,-17.12,-17.42,-19.53,2.11
59.00,1.00,-16.59,-17.40,-19.53,2.13
59.50,0.98,-16.72,-17.36,-19.53,2.17
60.00,1.00,-16.70,-17.11,-19.53,2.42
60.50,0.98,-16.86,-16.98,-19.53,2.55
61.00,0.98,-16.75,-16.84,-19.53,2.69
61.50,0.97,-16.86,-16.84,-19.53,2.69
62.00,0.95,-17.03,-16.84,-19.53,2.69
62.50,0.95,-17.54,-16.86,-19.53,2.67
63.00,0.98,-17.75,-16.86,-19.53,2.67
63.50,0.94,-17.90,-16.86,-19.53,2.67
64.00,0.97,-17.82,-16.95,-19.53,2.58
64.50,1.00,-17.44,-17.24,-19.53,2.29
65.00,0.92,-16.63,-17.24,-19.53,2.29
65.50,0.92,-16.81,-17.24,-19.53,2.29
66.00,0.85,-17.56,-17.49,-19.53,2.04
66.50,0.73,-17.31,-17.49,-19.53,2.04
67.00,0.74,-17.06,-17.49,-19.53,2.04
67.50,0.45,-16.36,-17.49,-19.53,2.04
68.00,0.71,-15.37,-17.37,-19.53,2.16
68.50,0.84,-15.01,-17.19,-19.53,2.34
69.00,1.00,-15.85,-16.94,-19.53,2.59
69.50,0.97,-16.26,-16.72,-19.53,2.81
70.00,0.78,-16.63,-16.63,-19.53,2.90
70.50,1.00,-17.09,-16.72,-19.53,2.81
71.00,1.00,-16.89,-16.76,-19.53,2.77
71.50,1.00,-16.69,-16.66,-19.53,2.87
72.00,1.00,-16.53,-16.58,-19.53,2.95
72.50,1.00,-16.60,-16.57,-19.53,2.96
73.00,0.65,-17.09,-16.62,-19.53,2.91
73.50,0.90,-17.03,-16.66,-19.53,2.87
74.00,0.84,-17.23,-16.79,-19.53,2.74
74.50,0.96,-17.94,-16.96,-19.53,2.57
75.00,0.89,-17.86,-17.06,-19.53,2.47
75.50,0.85,-17.88,-17.06,-19.53,2.47
76.00,0.69,-17.55,-17.16,-19.53,2.37
76.50,0.94,-17.03,-17.16,-19.53,2.37
77.00,0.60,-17.12,-17.16,-19.53,2.37
77.50,1.00,-17.50,-17.36,-19.53,2.17
78.00,1.00,-18.07,-17.53,-19.53,2.00
