time_s,voiced_ratio,lufs_now,speech_med,ambient_med,snr_est_db
0.00,0.00,-23.97,,-23.97,
0.50,0.00,-23.82,,-23.89,
1.00,0.00,-23.23,,-23.82,
1.50,0.00,-22.06,,-23.52,
2.00,0.00,-20.95,,-23.23,
2.50,0.00,-19.36,,-22.64,
3.00,0.00,-18.21,,-22.06,
3.50,0.00,-17.50,,-21.50,
4.00,0.00,-16.97,,-20.95,
4.50,0.00,-16.40,,-20.15,
5.00,0.00,-16.27,,-18.78,
5.50,0.00,-16.18,,-17.85,
6.00,0.00,-16.29,,-17.24,
6.50,0.00,-16.87,,-16.92,
7.00,0.00,-17.20,,-16.92,
7.50,0.00,-17.61,,-16.92,
8.00,0.00,-18.03,,-16.92,
8.50,0.00,-18.65,,-16.92,
9.00,0.00,-19.33,,-17.04,
9.50,0.00,-19.80,,-17.41,
