time_s,voiced_ratio,lufs_now,speech_med,ambient_med,snr_est_db
0.00,0.06,-31.62,,-31.62,
0.50,0.07,-30.81,,-31.22,
1.00,0.00,-29.30,,-30.81,
1.50,0.00,-27.27,,-30.06,
2.00,0.00,-25.59,,-29.30,
2.50,0.00,-24.07,,-28.29,
3.00,0.00,-22.59,,-27.27,
3.50,0.00,-21.73,,-26.43,
4.00,0.13,-21.03,,-26.43,
4.50,0.00,-19.39,,-25.59,
5.00,0.00,-17.62,,-24.83,
5.50,0.00,-16.61,,-23.33,
6.00,0.00,-15.68,,-22.16,
6.50,0.00,-15.14,,-20.56,
7.00,0.00,-15.54,,-18.50,
7.50,0.00,-16.21,,-17.11,
8.00,0.00,-17.44,,-17.03,
8.50,0.00,-19.81,,-17.03,
9.00,0.00,-21.95,,-17.03,
9.50,0.00,-23.12,,-17.03,
10.00,0.00,-23.79,,-17.03,
10.50,0.00,-23.40,,-18.62,
11.00,0.00,-22.91,,-20.88,
11.50,0.00,-23.39,,-22.43,
12.00,0.00,-23.56,,-23.01,
12.50,0.00,-24.41,,-23.25,
13.00,0.00,-25.95,,-23.39,
13.50,0.00,-25.47,,-23.48,
14.00,0.00,-25.28,,-23.68,
14.50,0.00,-25.21,,-24.10,
15.00,0.00,-23.94,,-24.18,
15.50,0.00,-23.17,,-24.18,
16.00,0.00,-22.36,,-24.18,
16.50,0.00,-21.35,,-24.18,
17.00,0.00,-21.53,,-24.18,
17.50,0.00,-21.82,,-23.56,
18.00,0.00,-22.19,,-22.76,
18.50,0.00,-22.82,,-22.59,
19.00,0.00,-22.67,,-22.51,
19.50,0.21,-23.20,,-22.51,
20.00,0.00,-23.76,,-22.51,
20.50,0.00,-24.44,,-22.51,
21.00,0.00,-25.04,,-22.51,
21.50,0.00,-25.10,,-22.74,
22.00,0.00,-24.23,,-23.29,
22.50,0.00,-23.92,,-23.84,
23.00,0.00,-24.16,,-24.04,
23.50,0.00,-23.56,,-24.04,
24.00,0.00,-21.26,,-24.04,
24.50,0.00,-20.51,,-24.04,
25.00,0.00,-19.34,,-24.04,
25.50,0.00,-19.44,,-23.74,
26.00,0.00,-20.83,,-22.41,
26.50,0.00,-20.83,,-21.04,
27.00,0.00,-17.52,,-20.83,
27.50,0.00,-15.15,,-20.67,
28.00,0.00,-14.35,,-19.97,
28.50,0.00,-13.53,,-19.39,
29.00,0.00,-14.70,,-18.43,
29.50,0.00,-16.16,,-16.84,
30.00,0.00,-16.40,,-16.28,
30.50,0.00,-17.84,,-16.28,
31.00,0.00,-18.00,,-16.28,
31.50,0.00,-18.66,,-16.28,
32.00,0.00,-19.70,,-16.28,
32.50,0.00,-20.35,,-17.12,
33.00,0.00,-21.02,,-17.92,
