time_s,voiced_ratio,lufs_now,speech_med,ambient_med,snr_est_db
0.00,0.00,-37.47,,-37.47,
0.50,0.00,-31.08,,-34.28,
1.00,0.00,-26.63,,-31.08,
1.50,0.00,-23.65,,-28.86,
2.00,0.00,-21.55,,-26.63,
2.50,0.00,-20.51,,-25.14,
3.00,0.00,-19.96,,-23.65,
3.50,0.00,-19.25,,-22.60,
4.00,0.00,-19.08,,-21.55,
4.50,0.00,-18.77,,-21.03,
5.00,0.00,-18.60,,-20.23,
5.50,0.00,-18.88,,-19.60,
6.00,0.00,-19.12,,-19.18,
6.50,0.00,-19.37,,-19.18,
7.00,0.00,-19.44,,-19.18,
7.50,0.00,-19.56,,-19.18,
8.00,0.00,-19.34,,-19.18,
8.50,0.00,-19.35,,-19.23,
9.00,0.00,-19.62,,-19.34,
9.50,0.00,-19.81,,-19.36,
10.00,0.00,-20.37,,-19.41,
10.50,0.00,-20.72,,-19.50,
11.00,0.00,-21.10,,-19.59,
11.50,0.00,-21.55,,-19.71,
12.00,0.00,-21.96,,-20.09,
12.50,0.00,-22.54,,-20.54,
13.00,0.00,-22.95,,-20.91,
13.50,0.00,-23.17,,-21.33,
14.00,0.00,-23.20,,-21.75,
14.50,0.00,-23.03,,-22.25,
15.00,0.00,-22.96,,-22.75,
15.50,0.00,-23.09,,-22.96,
16.00,0.00,-23.18,,-23.00,
16.50,0.00,-23.30,,-23.06,
17.00,0.00,-23.03,,-23.06,
17.50,0.00,-23.08,,-23.09,
18.00,0.00,-23.29,,-23.13,
18.50,0.00,-23.89,,-23.14,
19.00,0.00,-24.32,,-23.14,
19.50,0.00,-24.63,,-23.23,
20.00,0.00,-24.71,,-23.29,
20.50,0.00,-24.52,,-23.59,
21.00,0.00,-24.98,,-24.10,
21.50,0.00,-25.24,,-24.42,
22.00,0.00,-25.42,,-24.57,
22.50,0.00,-25.72,,-24.67,
23.00,0.00,-25.74,,-24.85,
23.50,0.00,-25.99,,-25.11,
24.00,0.00,-26.12,,-25.33,
24.50,0.00,-26.25,,-25.57,
25.00,0.00,-26.29,,-25.73,
25.50,0.00,-25.89,,-25.81,
26.00,0.00,-25.46,,-25.81,
26.50,0.00,-24.89,,-25.81,
27.00,0.00,-24.58,,-25.81,
27.50,0.00,-24.55,,-25.81,
28.00,0.00,-24.68,,-25.67,
28.50,0.00,-24.97,,-25.22,
29.00,0.00,-24.91,,-24.94,
29.50,0.00,-24.70,,-24.90,
30.00,0.00,-24.61,,-24.79,
30.50,0.00,-24.46,,-24.69,
31.00,0.00,-24.46,,-24.64,
31.50,0.00,-24.56,,-24.59,
32.00,0.00,-25.02,,-24.64,
32.50,0.00,-25.02,,-24.69,
33.00,0.00,-25.08,,-24.81,
33.50,0.00,-25.11,,-24.81,
34.00,0.00,-24.89,,-24.80,
34.50,0.00,-24.71,,-24.80,
35.00,0.00,-24.73,,-24.81,
35.50,0.00,-24.63,,-24.81,
36.00,0.00,-24.70,,-24.81,
36.50,0.00,-25.05,,-24.95,
37.00,0.00,-25.20,,-24.95,
37.50,0.00,-25.61,,-24.97,
38.00,0.00,-25.49,,-24.97,
38.50,0.00,-25.51,,-24.97,
39.00,0.00,-25.76,,-25.13,
39.50,0.00,-25.67,,-25.34,
40.00,0.00,-25.62,,-25.50,
40.50,0.00,-25.55,,-25.53,
41.00,0.00,-25.71,,-25.58,
41.50,0.00,-26.16,,-25.61,
42.00,0.00,-26.84,,-25.65,
42.50,0.00,-28.05,,-25.69,
43.00,0.00,-28.67,,-25.74,
43.50,0.00,-29.80,,-25.96,
44.00,0.00,-31.32,,-26.50,
44.50,0.00,-32.74,,-27.45,
45.00,0.00,-34.57,,-28.36,
45.50,0.00,-35.86,,-29.24,
46.00,0.00,-36.77,,-30.56,
46.50,0.00,-37.91,,-32.03,
47.00,0.00,-39.39,,-33.66,
47.50,0.00,-40.35,,-35.21,
48.00,0.00,-42.07,,-36.31,
48.50,0.00,-43.32,,-37.34,
49.00,0.00,-44.79,,-38.65,
49.50,0.00,-47.60,,-39.87,
50.00,0.00,-50.24,,-41.21,
50.50,0.00,-52.65,,-42.70,
51.00,0.00,-54.20,,-44.06,
51.50,0.00,-54.75,,-46.20,
52.00,0.00,-56.42,,-48.92,
