time_s,voiced_ratio,lufs_now,speech_med,ambient_med,snr_est_db
0.00,0.00,-42.99,,-42.99,
0.50,0.00,-43.33,,-43.16,
1.00,0.00,-43.80,,-43.33,
1.50,0.00,-43.80,,-43.56,
2.00,0.00,-43.60,,-43.60,
2.50,0.00,-43.63,,-43.62,
3.00,0.00,-43.92,,-43.63,
3.50,0.00,-44.21,,-43.72,
4.00,0.00,-44.71,,-43.80,
4.50,0.00,-44.73,,-43.80,
5.00,0.00,-44.43,,-43.86,
5.50,0.00,-44.72,,-44.06,
6.00,0.00,-45.01,,-44.32,
6.50,0.00,-45.45,,-44.57,
7.00,0.00,-45.86,,-44.72,
7.50,0.00,-45.49,,-44.73,
8.00,0.00,-45.14,,-44.87,
8.50,0.00,-44.69,,-44.87,
9.00,0.00,-45.01,,-45.01,
9.50,0.00,-45.61,,-45.07,
10.00,0.00,-46.10,,-45.29,
10.50,0.00,-46.75,,-45.47,
11.00,0.00,-46.75,,-45.55,
11.50,0.00,-46.03,,-45.74,
12.00,0.00,-45.82,,-45.72,
12.50,0.00,-40.74,,-45.72,
13.00,0.00,-36.11,,-45.72,
13.50,0.00,-33.75,,-45.72,
14.00,0.00,-31.89,,-45.72,
14.50,0.00,-30.69,,-43.28,
15.00,0.00,-30.54,,-38.42,
15.50,0.00,-30.02,,-34.93,
16.00,0.00,-29.34,,-32.82,
16.50,0.00,-28.68,,-31.29,
17.00,0.00,-28.10,,-30.61,
17.50,0.00,-27.46,,-30.28,
18.00,0.00,-26.98,,-29.68,
18.50,0.00,-26.77,,-29.01,
19.00,0.00,-26.34,,-28.39,
19.50,0.00,-26.11,,-27.78,
20.00,0.00,-25.97,,-27.22,
20.50,0.00,-25.83,,-26.87,
21.00,0.00,-25.84,,-26.55,
21.50,0.00,-25.70,,-26.22,
22.00,0.00,-25.63,,-26.04,
22.50,0.00,-25.45,,-25.90,
23.00,0.00,-25.26,,-25.84,
23.50,0.00,-25.53,,-25.76,
24.00,0.00,-25.98,,-25.76,
24.50,0.00,-26.59,,-25.76,
25.00,0.00,-27.24,,-25.76,
25.50,0.00,-27.59,,-25.77,
26.00,0.00,-27.47,,-25.84,
26.50,0.00,-27.33,,-26.28,
27.00,0.00,-27.56,,-26.91,
27.50,0.00,-27.64,,-27.29,
28.00,0.00,-28.20,,-27.40,
28.50,0.00,-28.75,,-27.52,
29.00,0.00,-28.73,,-27.58,
29.50,0.00,-29.19,,-27.61,
30.00,0.00,-29.32,,-27.92,
30.50,0.00,-29.56,,-28.46,
31.00,0.00,-29.84,,-28.74,
31.50,0.00,-30.03,,-28.97,
32.00,0.00,-30.33,,-29.26,
32.50,0.00,-30.43,,-29.44,
33.00,0.00,-30.85,,-29.70,
33.50,0.00,-30.75,,-29.94,
34.00,0.00,-29.78,,-29.94,
34.50,0.16,-28.97,,-29.94,
35.00,0.06,-28.10,,-29.94,
35.50,0.00,-28.11,,-29.94,
36.00,0.00,-28.66,,-29.94,
36.50,0.00,-29.49,,-29.91,
37.00,0.00,-30.74,,-30.06,
37.50,0.00,-31.10,,-30.11,
38.00,0.00,-31.49,,-30.26,
38.50,0.00,-31.67,,-30.26,
39.00,0.00,-31.99,,-30.26,
39.50,0.08,-32.14,,-30.92,
40.00,0.00,-32.04,,-31.30,
40.50,0.00,-32.29,,-31.58,
41.00,0.00,-31.92,,-31.79,
41.50,0.07,-31.54,,-31.79,
42.00,0.16,-31.14,,-31.79,
42.50,0.00,-31.03,,-31.79,
43.00,0.00,-31.57,,-31.79,
43.50,0.00,-32.51,,-31.95,
44.00,0.00,-33.81,,-32.01,
44.50,0.00,-34.35,,-32.09,
45.00,0.00,-33.51,,-32.16,
45.50,0.00,-32.81,,-32.40,
46.00,0.00,-32.68,,-32.59,
46.50,0.00,-33.11,,-32.75,
47.00,0.00,-34.43,,-32.96,
47.50,0.00,-36.16,,-33.31,
48.00,0.00,-38.05,,-33.66,
48.50,0.00,-39.33,,-34.08,
49.00,0.00,-40.52,,-34.39,
49.50,0.00,-41.13,,-35.29,
50.00,0.00,-41.36,,-37.11,
50.50,0.00,-41.26,,-38.69,
51.00,0.00,-41.08,,-39.93,
51.50,0.00,-41.23,,-40.80,
52.00,0.00,-41.49,,-41.11,
52.50,0.00,-41.88,,-41.18,
53.00,0.00,-42.43,,-41.24,
53.50,0.00,-42.69,,-41.31,
54.00,0.00,-42.75,,-41.43,
54.50,0.00,-42.74,,-41.68,
55.00,0.00,-42.59,,-42.15,
55.50,0.00,-42.73,,-42.51,
56.00,0.00,-41.88,,-42.51,
56.50,0.00,-40.66,,-42.51,
57.00,0.00,-40.68,,-42.51,
57.50,0.00,-40.63,,-42.51,
58.00,0.00,-41.14,,-42.23,
58.50,0.00,-42.35,,-42.11,
59.00,0.00,-42.66,,-42.11,
