time_s,voiced_ratio,lufs_now,speech_med,ambient_med,snr_est_db
0.00,0.00,-14.85,,-14.85,
0.50,0.00,-13.90,,-14.37,
1.00,0.00,-14.01,,-14.01,
1.50,0.00,-15.59,,-14.43,
2.00,0.00,-17.72,,-14.85,
2.50,0.00,-20.35,,-15.22,
3.00,0.00,-23.80,,-15.59,
3.50,0.00,-28.37,,-16.65,
4.00,0.00,-33.73,,-17.72,
4.50,0.00,-40.37,,-19.03,
5.00,0.00,-49.18,,-22.07,
5.50,0.00,-31.69,,-26.09,
6.00,0.00,-18.18,,-26.09,
6.50,0.00,-14.57,,-26.09,
7.00,0.00,-13.14,,-26.09,
7.50,0.00,-12.63,,-26.09,
8.00,0.00,-13.39,,-23.28,
8.50,0.00,-15.45,,-16.81,
9.00,0.00,-18.06,,-16.75,
9.50,0.00,-20.42,,-16.75,
10.00,0.00,-24.65,,-16.75,
10.50,0.00,-29.84,,-16.75,
11.00,0.00,-34.92,,-16.75,
11.50,0.00,-41.06,,-19.24,
12.00,0.00,-46.67,,-22.54,
12.50,0.00,-53.37,,-27.25,
13.00,0.00,-47.94,,-32.38,
13.50,0.00,-28.37,,-32.38,
14.00,0.00,-20.26,,-32.38,
14.50,0.00,-17.72,,-32.38,
15.00,0.00,-16.51,,-32.38,
15.50,0.00,-15.93,,-31.65,
16.00,0.00,-16.65,,-24.32,
16.50,0.00,-17.83,,-19.04,
17.00,0.00,-19.00,,-18.41,
17.50,0.00,-20.56,,-18.41,
18.00,0.00,-23.06,,-18.41,
18.50,0.00,-25.89,,-18.41,
19.00,0.00,-29.68,,-18.41,
19.50,0.00,-36.73,,-19.78,
20.00,0.00,-49.78,,-21.81,
20.50,0.00,-27.97,,-24.48,
21.00,0.00,-17.77,,-24.48,
21.50,0.00,-14.54,,-24.48,
22.00,0.00,-12.60,,-24.48,
22.50,0.00,-11.83,,-24.48,
23.00,0.00,-12.59,,-21.83,
23.50,0.00,-14.04,,-16.15,
24.00,0.00,-16.78,,-15.66,
24.50,0.00,-20.38,,-15.66,
25.00,0.00,-23.24,,-15.66,
25.50,0.00,-27.01,,-15.66,
26.00,0.00,-32.03,,-15.66,
26.50,0.00,-36.51,,-18.58,
27.00,0.00,-41.89,,-21.81,
27.50,0.00,-46.69,,-25.13,
28.00,0.00,-50.91,,-29.52,
28.50,0.00,-55.29,,-34.27,
29.00,0.00,-60.29,,-39.20,
29.50,0.00,-67.28,,-44.29,
30.00,0.00,-75.37,,-48.80,
30.50,0.00,-85.01,,-53.10,
31.00,0.00,-95.26,,-57.79,
31.50,0.00,-63.85,,-62.07,
32.00,0.00,-43.31,,-62.07,
32.50,0.00,-30.03,,-62.07,
33.00,0.00,-19.86,,-62.07,
33.50,0.00,-15.04,,-62.07,
34.00,0.00,-12.67,,-53.58,
34.50,0.00,-11.20,,-36.67,
35.00,0.00,-10.79,,-24.95,
35.50,0.00,-11.07,,-17.45,
36.00,0.00,-11.74,,-13.85,
36.50,0.00,-12.69,,-12.68,
37.00,0.00,-13.52,,-12.68,
37.50,0.00,-14.62,,-12.68,
38.00,0.00,-15.56,,-12.68,
38.50,0.00,-16.64,,-12.68,
39.00,0.00,-17.82,,-13.11,
39.50,0.00,-19.24,,-14.07,
40.00,0.00,-21.01,,-15.09,
40.50,0.00,-22.90,,-16.10,
41.00,0.00,-25.18,,-17.23,
41.50,0.00,-27.08,,-18.53,
42.00,0.00,-29.15,,-20.12,
42.50,0.00,-31.79,,-21.95,
43.00,0.00,-34.73,,-24.04,
43.50,0.00,-38.63,,-26.13,
44.00,0.00,-43.22,,-28.11,
44.50,0.00,-49.48,,-30.47,
45.00,0.00,-56.91,,-33.26,
45.50,0.00,-53.48,,-36.68,
46.00,0.00,-47.91,,-40.93,
46.50,0.00,-43.01,,-43.11,
47.00,0.00,-40.59,,-43.11,
47.50,0.00,-38.74,,-43.11,
48.00,0.00,-36.66,,-43.11,
48.50,0.00,-35.79,,-43.11,
49.00,0.00,-34.49,,-41.80,
49.50,0.00,-32.84,,-39.67,
50.00,0.00,-30.27,,-37.70,
50.50,0.00,-27.78,,-36.23,
51.00,0.00,-26.28,,-35.14,
51.50,0.00,-20.79,,-33.67,
52.00,0.00,-17.14,,-31.56,
52.50,0.00,-15.79,,-29.03,
53.00,0.00,-15.18,,-27.03,
53.50,0.00,-15.49,,-23.54,
54.00,0.00,-17.00,,-18.97,
54.50,0.00,-18.31,,-17.73,
55.00,0.00,-19.12,,-17.73,
55.50,0.00,-20.09,,-17.73,
56.00,0.00,-21.17,,-17.73,
56.50,0.00,-22.49,,-17.73,
57.00,0.00,-24.44,,-18.71,
57.50,0.00,-26.80,,-19.60,
58.00,0.00,-29.58,,-20.63,
58.50,0.00,-33.00,,-21.83,
59.00,0.00,-35.66,,-23.47,
59.50,0.00,-38.38,,-25.62,
60.00,0.00,-41.80,,-28.19,
60.50,0.00,-46.14,,-31.29,
61.00,0.00,-50.29,,-34.33,
