time_s,voiced,lufs_now,speech_med,ambient_med,snr_est_db,audible
0.00,0.00,-56.25,,-56.25,,0
0.50,0.20,-38.49,,-56.25,,1
1.00,0.50,-36.19,,-56.25,,1
1.50,0.69,-35.89,-35.89,-56.25,20.36,1
2.00,0.95,-34.51,-35.20,-56.25,21.05,1
2.50,0.95,-34.68,-34.68,-56.25,21.57,1
3.00,0.82,-35.28,-34.98,-56.25,21.27,1
3.50,0.94,-34.70,-34.70,-56.25,21.54,1
4.00,0.94,-35.92,-34.99,-56.25,21.26,1
4.50,1.00,-37.10,-35.28,-56.25,20.97,1
5.00,0.89,-37.52,-35.58,-56.25,20.66,1
5.50,0.95,-38.76,-35.89,-56.25,20.36,1
6.00,1.00,-37.16,-35.91,-56.25,20.34,1
6.50,0.82,-38.01,-36.51,-56.25,19.73,1
7.00,0.91,-39.11,-37.13,-56.25,19.11,1
7.50,0.65,-38.33,-37.34,-56.25,18.90,1
8.00,0.60,-39.12,-37.34,-56.25,18.90,1
8.50,0.60,-38.53,-37.34,-56.25,18.90,1
9.00,0.73,-37.27,-37.40,-56.25,18.85,1
9.50,0.68,-37.99,-37.76,-56.25,18.49,1
10.00,0.58,-38.01,-37.76,-56.25,18.49,1
10.50,0.71,-35.98,-37.76,-56.25,18.49,1
11.00,0.85,-35.89,-37.76,-56.25,18.49,1
11.50,0.94,-34.43,-37.63,-56.25,18.62,1
12.00,0.72,-34.63,-37.22,-56.25,19.03,1
12.50,0.63,-36.56,-36.91,-56.25,19.33,1
13.00,0.36,-36.47,-36.91,-56.25,19.33,1
13.50,0.54,-38.92,-36.91,-56.25,19.33,1
14.00,0.81,-39.32,-36.91,-56.25,19.33,1
14.50,0.84,-38.39,-36.91,-56.25,19.33,1
15.00,0.80,-39.47,-36.91,-56.25,19.33,1
15.50,0.87,-39.28,-37.27,-56.25,18.97,1
16.00,0.30,-40.04,-37.27,-56.25,18.97,1
16.50,0.35,-42.55,-37.27,-56.25,18.97,1
17.00,0.19,-45.33,-37.27,-56.25,18.97,1
17.50,0.00,-51.50,-37.27,-53.87,16.60,0
18.00,0.00,-51.73,-37.27,-51.73,14.46,0
18.50,0.00,-50.71,-37.27,-51.61,14.34,0
